state,yr,qtr,index_nsa,index_sa,Warning
AK,1999,1,132.04,132.39,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,2,134.05,132.40,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,3,135.04,133.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,4,131.45,131.92,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,1,132.66,133.14,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,2,137.23,135.54,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,3,138.39,137.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,4,136.83,137.34,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,1,140.16,140.71,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,2,144.88,143.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,3,146.94,145.34,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,4,148.70,149.26,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,1,148.99,149.57,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,2,154.25,152.57,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,3,158.05,156.29,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,4,157.25,157.72,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,1,160.36,161.03,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,2,164.97,163.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,3,167.56,165.62,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,4,170.82,171.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,1,174.70,175.51,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,2,179.37,177.49,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,3,185.62,183.48,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,4,187.53,187.90,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,1,191.37,192.56,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,2,199.44,197.10,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,3,206.29,203.99,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,4,207.25,207.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,1,211.26,212.89,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,2,218.62,215.80,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,3,220.36,218.02,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,4,219.70,219.67,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,1,221.03,223.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,2,229.20,225.96,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,3,226.33,223.90,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,4,222.76,222.54,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,1,216.65,219.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,2,226.03,222.89,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,3,223.43,220.77,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,4,224.30,223.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,1,222.62,225.81,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,2,218.82,215.88,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,3,217.73,214.69,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,4,215.61,215.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,1,210.77,213.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,2,222.83,220.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,3,224.86,221.21,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,4,220.50,219.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,1,221.73,225.47,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,2,223.74,221.04,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,3,228.35,224.43,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,4,222.77,222.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,1,214.93,218.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,2,224.90,222.14,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,3,230.19,226.44,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,4,226.45,225.87,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,1,225.05,228.92,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,2,232.11,228.83,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,3,231.31,228.12,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,4,231.22,230.65,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,1,226.42,229.86,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,2,237.34,233.81,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,3,237.57,234.96,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,4,239.85,239.25,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2015,1,237.48,240.63,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2015,2,244.11,240.25,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2015,3,243.23,241.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2015,4,245.16,244.89,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2016,1,242.73,245.20,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2016,2,251.54,247.58,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2016,3,248.82,246.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2016,4,246.35,246.46,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,1,247.56,249.62,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,2,251.48,247.49,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,3,254.73,252.64,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2017,4,249.12,249.71,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,1,252.91,254.64,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,2,257.29,253.34,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,3,255.44,253.06,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2018,4,254.29,255.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,1,257.16,258.89,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,2,267.81,263.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,3,266.73,263.85,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2019,4,263.01,264.14,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,1,265.53,267.40,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,2,275.78,271.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,3,276.35,273.02,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2020,4,286.20,287.41,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,1,287.83,290.10,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,2,301.00,296.81,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,3,313.89,309.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2021,4,316.17,317.42,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2022,1,321.03,323.65,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2022,2,336.50,332.12,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2022,3,344.62,339.96,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2022,4,335.62,336.73,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2023,1,341.11,343.97,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2023,2,352.19,347.84,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2023,3,354.06,349.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2023,4,357.05,358.13,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2024,1,358.07,361.04,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2024,2,369.82,365.32,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2024,3,376.47,371.44,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2024,4,375.04,376.01,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AL,1991,1,100.00,100.00,
AL,1991,2,101.58,101.29,
AL,1991,3,102.49,101.90,
AL,1991,4,103.34,102.81,
AL,1992,1,104.19,104.20,
AL,1992,2,104.54,104.23,
AL,1992,3,106.68,106.04,
AL,1992,4,108.21,107.70,
AL,1993,1,108.81,108.81,
AL,1993,2,109.85,109.49,
AL,1993,3,111.94,111.25,
AL,1993,4,113.07,112.61,
AL,1994,1,113.98,113.94,
AL,1994,2,116.07,115.67,
AL,1994,3,117.24,116.48,
AL,1994,4,117.73,117.37,
AL,1995,1,118.50,118.41,
AL,1995,2,119.74,119.25,
AL,1995,3,121.46,120.69,
AL,1995,4,121.77,121.50,
AL,1996,1,122.67,122.53,
AL,1996,2,125.03,124.46,
AL,1996,3,125.64,124.88,
AL,1996,4,126.36,126.16,
AL,1997,1,127.66,127.46,
AL,1997,2,128.16,127.48,
AL,1997,3,129.58,128.89,
AL,1997,4,129.46,129.30,
AL,1998,1,130.86,130.59,
AL,1998,2,132.60,131.87,
AL,1998,3,133.96,133.30,
AL,1998,4,135.31,135.16,
AL,1999,1,136.32,136.02,
AL,1999,2,138.10,137.29,
AL,1999,3,138.59,137.96,
AL,1999,4,139.59,139.42,
AL,2000,1,141.06,140.76,
AL,2000,2,142.30,141.46,
AL,2000,3,142.73,142.05,
AL,2000,4,142.70,142.52,
AL,2001,1,144.14,143.92,
AL,2001,2,145.91,145.04,
AL,2001,3,146.80,146.00,
AL,2001,4,147.28,147.09,
AL,2002,1,148.28,148.14,
AL,2002,2,150.20,149.35,
AL,2002,3,151.15,150.18,
AL,2002,4,153.13,152.96,
AL,2003,1,154.02,153.98,
AL,2003,2,156.20,155.31,
AL,2003,3,159.33,158.17,
AL,2003,4,158.90,158.75,
AL,2004,1,159.97,160.05,
AL,2004,2,163.63,162.65,
AL,2004,3,167.26,165.94,
AL,2004,4,168.37,168.26,
AL,2005,1,171.07,171.30,
AL,2005,2,175.16,173.99,
AL,2005,3,179.18,177.65,
AL,2005,4,182.60,182.62,
AL,2006,1,186.73,187.10,
AL,2006,2,191.94,190.49,
AL,2006,3,194.94,193.17,
AL,2006,4,195.61,195.74,
AL,2007,1,197.70,198.28,
AL,2007,2,202.14,200.50,
AL,2007,3,202.06,200.01,
AL,2007,4,200.03,200.29,
AL,2008,1,197.79,198.59,
AL,2008,2,198.24,196.59,
AL,2008,3,195.86,193.55,
AL,2008,4,190.49,190.85,
AL,2009,1,190.43,191.46,
AL,2009,2,192.17,190.53,
AL,2009,3,187.95,185.38,
AL,2009,4,191.52,192.06,
AL,2010,1,182.95,184.14,
AL,2010,2,182.36,180.73,
AL,2010,3,181.83,179.14,
AL,2010,4,174.40,175.02,
AL,2011,1,170.12,171.33,
AL,2011,2,171.77,170.17,
AL,2011,3,173.68,171.02,
AL,2011,4,170.25,170.95,
AL,2012,1,171.63,172.89,
AL,2012,2,178.11,176.30,
AL,2012,3,175.04,172.42,
AL,2012,4,175.49,176.32,
AL,2013,1,176.06,177.28,
AL,2013,2,181.32,179.33,
AL,2013,3,182.59,180.03,
AL,2013,4,179.79,180.69,
AL,2014,1,180.98,182.14,
AL,2014,2,183.61,181.47,
AL,2014,3,185.38,183.00,
AL,2014,4,184.71,185.64,
AL,2015,1,184.34,185.37,
AL,2015,2,190.98,188.72,
AL,2015,3,191.72,189.42,
AL,2015,4,188.93,189.84,
AL,2016,1,191.20,192.15,
AL,2016,2,196.27,193.98,
AL,2016,3,198.58,196.31,
AL,2016,4,197.25,198.20,
AL,2017,1,198.85,199.64,
AL,2017,2,204.46,202.19,
AL,2017,3,206.70,204.43,
AL,2017,4,206.85,207.80,
AL,2018,1,209.29,209.96,
AL,2018,2,215.60,213.33,
AL,2018,3,218.13,215.81,
AL,2018,4,217.04,218.03,
AL,2019,1,221.57,222.09,
AL,2019,2,226.66,224.41,
AL,2019,3,230.52,228.09,
AL,2019,4,231.32,232.41,
AL,2020,1,237.86,238.26,
AL,2020,2,241.75,239.47,
AL,2020,3,249.37,246.68,
AL,2020,4,257.04,258.35,
AL,2021,1,264.87,265.20,
AL,2021,2,280.46,277.88,
AL,2021,3,293.94,290.67,
AL,2021,4,301.24,302.90,
AL,2022,1,314.21,314.59,
AL,2022,2,326.52,323.49,
AL,2022,3,332.40,328.59,
AL,2022,4,331.01,332.94,
AL,2023,1,338.08,338.55,
AL,2023,2,342.04,338.77,
AL,2023,3,351.04,346.96,
AL,2023,4,346.82,348.95,
AL,2024,1,349.25,349.75,
AL,2024,2,361.96,358.48,
AL,2024,3,364.83,360.53,
AL,2024,4,363.35,365.64,
AR,1991,1,100.00,100.00,
AR,1991,2,100.21,99.91,
AR,1991,3,101.50,101.21,
AR,1991,4,102.96,102.80,
AR,1992,1,102.80,102.81,
AR,1992,2,103.95,103.60,
AR,1992,3,105.09,104.80,
AR,1992,4,105.58,105.42,
AR,1993,1,107.36,107.37,
AR,1993,2,109.51,109.14,
AR,1993,3,111.48,111.19,
AR,1993,4,111.52,111.36,
AR,1994,1,115.06,115.06,
AR,1994,2,116.57,116.18,
AR,1994,3,117.05,116.74,
AR,1994,4,119.09,118.91,
AR,1995,1,118.99,119.00,
AR,1995,2,121.51,121.09,
AR,1995,3,122.76,122.42,
AR,1995,4,123.44,123.28,
AR,1996,1,124.02,124.03,
AR,1996,2,125.75,125.30,
AR,1996,3,125.31,124.96,
AR,1996,4,125.78,125.62,
AR,1997,1,127.31,127.35,
AR,1997,2,127.97,127.47,
AR,1997,3,128.27,127.91,
AR,1997,4,129.30,129.15,
AR,1998,1,129.13,129.17,
AR,1998,2,129.73,129.24,
AR,1998,3,132.21,131.81,
AR,1998,4,132.51,132.37,
AR,1999,1,133.71,133.77,
AR,1999,2,135.14,134.63,
AR,1999,3,136.08,135.63,
AR,1999,4,136.63,136.50,
AR,2000,1,136.91,136.97,
AR,2000,2,139.65,139.18,
AR,2000,3,139.92,139.39,
AR,2000,4,140.86,140.73,
AR,2001,1,142.58,142.68,
AR,2001,2,143.62,143.17,
AR,2001,3,145.40,144.80,
AR,2001,4,145.91,145.74,
AR,2002,1,146.75,146.93,
AR,2002,2,149.68,149.20,
AR,2002,3,151.06,150.38,
AR,2002,4,152.39,152.17,
AR,2003,1,154.03,154.35,
AR,2003,2,156.77,156.22,
AR,2003,3,159.92,159.12,
AR,2003,4,160.95,160.76,
AR,2004,1,163.95,164.36,
AR,2004,2,167.46,166.84,
AR,2004,3,170.04,169.14,
AR,2004,4,172.52,172.34,
AR,2005,1,174.59,175.08,
AR,2005,2,178.01,177.28,
AR,2005,3,181.99,181.01,
AR,2005,4,185.12,185.02,
AR,2006,1,186.24,186.70,
AR,2006,2,189.98,189.18,
AR,2006,3,191.62,190.62,
AR,2006,4,192.34,192.30,
AR,2007,1,191.76,192.21,
AR,2007,2,195.22,194.26,
AR,2007,3,195.35,194.40,
AR,2007,4,193.19,193.29,
AR,2008,1,189.38,189.72,
AR,2008,2,189.23,188.25,
AR,2008,3,189.00,188.08,
AR,2008,4,184.68,184.94,
AR,2009,1,183.85,184.11,
AR,2009,2,184.31,183.22,
AR,2009,3,184.39,183.50,
AR,2009,4,187.56,188.05,
AR,2010,1,177.95,178.07,
AR,2010,2,182.99,181.87,
AR,2010,3,177.59,176.68,
AR,2010,4,174.69,175.34,
AR,2011,1,177.21,177.21,
AR,2011,2,174.20,173.13,
AR,2011,3,175.79,174.84,
AR,2011,4,176.97,177.80,
AR,2012,1,177.79,177.63,
AR,2012,2,182.87,181.79,
AR,2012,3,181.73,180.74,
AR,2012,4,179.96,180.89,
AR,2013,1,185.60,185.31,
AR,2013,2,185.94,184.89,
AR,2013,3,186.31,185.29,
AR,2013,4,182.76,183.75,
AR,2014,1,185.64,185.26,
AR,2014,2,187.90,186.93,
AR,2014,3,188.84,187.77,
AR,2014,4,190.63,191.62,
AR,2015,1,188.13,187.80,
AR,2015,2,192.71,191.76,
AR,2015,3,195.94,194.74,
AR,2015,4,194.03,195.00,
AR,2016,1,196.14,195.88,
AR,2016,2,198.10,197.21,
AR,2016,3,200.54,199.21,
AR,2016,4,198.96,199.79,
AR,2017,1,202.81,202.76,
AR,2017,2,204.11,203.21,
AR,2017,3,207.74,206.31,
AR,2017,4,209.69,210.39,
AR,2018,1,211.56,211.68,
AR,2018,2,213.54,212.68,
AR,2018,3,216.26,214.72,
AR,2018,4,216.79,217.30,
AR,2019,1,220.66,221.01,
AR,2019,2,223.72,222.83,
AR,2019,3,225.82,224.15,
AR,2019,4,225.30,225.73,
AR,2020,1,227.70,228.17,
AR,2020,2,234.83,233.93,
AR,2020,3,241.94,240.09,
AR,2020,4,249.80,250.19,
AR,2021,1,255.00,255.69,
AR,2021,2,270.41,269.36,
AR,2021,3,283.11,280.85,
AR,2021,4,296.53,296.99,
AR,2022,1,304.56,305.52,
AR,2022,2,317.05,315.79,
AR,2022,3,325.01,322.32,
AR,2022,4,324.73,325.20,
AR,2023,1,330.24,331.45,
AR,2023,2,336.96,335.57,
AR,2023,3,342.26,339.31,
AR,2023,4,345.92,346.45,
AR,2024,1,348.51,349.90,
AR,2024,2,356.47,354.99,
AR,2024,3,363.37,360.12,
AR,2024,4,357.57,358.17,
AZ,1991,1,100.00,100.00,
AZ,1991,2,100.49,100.34,
AZ,1991,3,99.49,99.41,
AZ,1991,4,101.71,101.09,
AZ,1992,1,102.29,102.31,
AZ,1992,2,101.67,101.51,
AZ,1992,3,102.79,102.67,
AZ,1992,4,103.85,103.24,
AZ,1993,1,104.12,104.16,
AZ,1993,2,105.36,105.19,
AZ,1993,3,106.93,106.72,
AZ,1993,4,109.31,108.76,
AZ,1994,1,110.34,110.40,
AZ,1994,2,112.68,112.48,
AZ,1994,3,114.51,114.18,
AZ,1994,4,116.53,116.06,
AZ,1995,1,117.28,117.36,
AZ,1995,2,119.26,119.00,
AZ,1995,3,121.16,120.70,
AZ,1995,4,122.08,121.75,
AZ,1996,1,123.77,123.85,
AZ,1996,2,125.26,124.92,
AZ,1996,3,126.72,126.17,
AZ,1996,4,126.86,126.68,
AZ,1997,1,127.96,128.01,
AZ,1997,2,129.62,129.20,
AZ,1997,3,131.04,130.46,
AZ,1997,4,131.94,131.86,
AZ,1998,1,133.30,133.32,
AZ,1998,2,135.83,135.32,
AZ,1998,3,137.68,137.12,
AZ,1998,4,138.85,138.78,
AZ,1999,1,141.04,141.06,
AZ,1999,2,143.55,142.94,
AZ,1999,3,145.69,145.19,
AZ,1999,4,147.05,146.93,
AZ,2000,1,149.45,149.48,
AZ,2000,2,151.99,151.30,
AZ,2000,3,153.39,152.94,
AZ,2000,4,155.75,155.54,
AZ,2001,1,157.58,157.64,
AZ,2001,2,160.98,160.25,
AZ,2001,3,162.91,162.44,
AZ,2001,4,165.76,165.49,
AZ,2002,1,166.55,166.70,
AZ,2002,2,170.16,169.38,
AZ,2002,3,172.70,172.08,
AZ,2002,4,176.09,175.88,
AZ,2003,1,179.15,179.41,
AZ,2003,2,183.16,182.27,
AZ,2003,3,186.94,186.05,
AZ,2003,4,192.42,192.41,
AZ,2004,1,197.98,198.36,
AZ,2004,2,206.04,204.94,
AZ,2004,3,216.56,215.18,
AZ,2004,4,227.46,227.92,
AZ,2005,1,243.65,244.16,
AZ,2005,2,268.75,267.10,
AZ,2005,3,290.44,288.18,
AZ,2005,4,301.55,302.80,
AZ,2006,1,313.86,314.58,
AZ,2006,2,320.16,317.96,
AZ,2006,3,316.58,313.69,
AZ,2006,4,318.17,320.10,
AZ,2007,1,317.16,317.86,
AZ,2007,2,315.66,313.30,
AZ,2007,3,308.49,305.51,
AZ,2007,4,288.28,290.26,
AZ,2008,1,276.43,277.04,
AZ,2008,2,263.25,261.30,
AZ,2008,3,244.52,242.07,
AZ,2008,4,224.08,225.60,
AZ,2009,1,214.27,214.80,
AZ,2009,2,203.55,202.09,
AZ,2009,3,201.88,199.87,
AZ,2009,4,194.50,195.62,
AZ,2010,1,190.61,191.24,
AZ,2010,2,187.42,186.10,
AZ,2010,3,181.32,179.56,
AZ,2010,4,172.01,172.77,
AZ,2011,1,165.96,166.69,
AZ,2011,2,162.60,161.38,
AZ,2011,3,163.73,162.29,
AZ,2011,4,166.40,166.90,
AZ,2012,1,172.38,173.24,
AZ,2012,2,183.94,182.51,
AZ,2012,3,194.37,192.83,
AZ,2012,4,197.20,197.63,
AZ,2013,1,203.82,204.90,
AZ,2013,2,217.06,215.21,
AZ,2013,3,221.16,219.68,
AZ,2013,4,226.11,226.55,
AZ,2014,1,227.35,228.47,
AZ,2014,2,232.49,230.38,
AZ,2014,3,233.80,232.50,
AZ,2014,4,235.27,235.73,
AZ,2015,1,240.11,241.09,
AZ,2015,2,246.53,244.25,
AZ,2015,3,251.16,250.00,
AZ,2015,4,253.41,253.92,
AZ,2016,1,257.52,258.27,
AZ,2016,2,265.88,263.57,
AZ,2016,3,267.44,266.33,
AZ,2016,4,272.08,272.60,
AZ,2017,1,277.39,277.94,
AZ,2017,2,286.20,283.93,
AZ,2017,3,290.85,289.68,
AZ,2017,4,293.23,293.71,
AZ,2018,1,302.11,302.62,
AZ,2018,2,308.85,306.62,
AZ,2018,3,313.15,311.72,
AZ,2018,4,318.39,318.99,
AZ,2019,1,320.73,321.23,
AZ,2019,2,330.08,327.77,
AZ,2019,3,337.13,335.35,
AZ,2019,4,343.49,344.33,
AZ,2020,1,352.18,352.83,
AZ,2020,2,361.57,359.00,
AZ,2020,3,375.98,373.63,
AZ,2020,4,392.50,393.78,
AZ,2021,1,415.21,416.25,
AZ,2021,2,448.32,444.77,
AZ,2021,3,480.16,476.97,
AZ,2021,4,499.69,501.49,
AZ,2022,1,527.69,529.57,
AZ,2022,2,557.06,552.10,
AZ,2022,3,543.38,539.58,
AZ,2022,4,527.99,530.07,
AZ,2023,1,530.23,532.58,
AZ,2023,2,542.89,537.51,
AZ,2023,3,554.38,550.57,
AZ,2023,4,562.98,565.23,
AZ,2024,1,558.66,561.43,
AZ,2024,2,573.20,567.18,
AZ,2024,3,570.69,566.85,
AZ,2024,4,569.84,572.13,
CA,1991,1,100.00,100.00,
CA,1991,2,99.72,99.16,
CA,1991,3,99.51,98.78,
CA,1991,4,99.64,99.11,
CA,1992,1,99.10,99.10,
CA,1992,2,98.02,97.47,
CA,1992,3,97.74,96.99,
CA,1992,4,95.96,95.49,
CA,1993,1,93.65,93.65,
CA,1993,2,92.99,92.47,
CA,1993,3,91.60,90.84,
CA,1993,4,90.38,90.01,
CA,1994,1,88.92,88.92,
CA,1994,2,88.65,88.14,
CA,1994,3,88.28,87.50,
CA,1994,4,87.03,86.75,
CA,1995,1,86.26,86.25,
CA,1995,2,86.21,85.67,
CA,1995,3,86.39,85.59,
CA,1995,4,85.25,85.07,
CA,1996,1,85.08,85.06,
CA,1996,2,85.08,84.49,
CA,1996,3,85.45,84.66,
CA,1996,4,85.27,85.18,
CA,1997,1,84.86,84.81,
CA,1997,2,86.96,86.29,
CA,1997,3,88.19,87.40,
CA,1997,4,88.98,88.93,
CA,1998,1,91.14,91.07,
CA,1998,2,94.47,93.68,
CA,1998,3,96.55,95.74,
CA,1998,4,98.07,98.03,
CA,1999,1,100.59,100.52,
CA,1999,2,103.78,102.86,
CA,1999,3,106.12,105.25,
CA,1999,4,108.25,108.20,
CA,2000,1,111.67,111.62,
CA,2000,2,116.00,114.98,
CA,2000,3,119.70,118.69,
CA,2000,4,123.63,123.53,
CA,2001,1,127.84,127.84,
CA,2001,2,132.36,131.24,
CA,2001,3,135.27,134.03,
CA,2001,4,137.81,137.66,
